entry_id,molecule,mapping,ansatz_type,n_qubits,status,flags,n_1q,n_2q,gap_mHa,c_I_minus_E_Ha,penalty_opt_mHa,noisy_gap_opt_mHa,meets_opt,eps_eff_opt,eps_model_opt,penalty_current_mHa,noisy_gap_current_mHa,meets_current,eps_eff_current,eps_model_current,penalty_pessimistic_mHa,noisy_gap_pessimistic_mHa,meets_pessimistic,eps_eff_pessimistic,eps_model_pessimistic,penalty_device-sc_mHa,noisy_gap_device-sc_mHa,meets_device-sc,eps_eff_device-sc,eps_model_device-sc,zne_residual_mHa,zne_gap_mHa,meets_after_zne,reason
HF_ccpvdz_PAR_HEA_v4_tapered__sha256_5b2d8909e49305a9,HF,parity,hea,1,ok,,3,0,1.2723063491648645e-05,0.7106200431836385,0.2842101073383674,0.28422283040185903,True,0.00039994665231377633,0.00039994666903697684,1.4202927916215913,1.420305514685083,True,0.0019986669462045544,0.001998666962963025,2.838691871701826,2.838704594765318,True,0.003994669020288597,0.003994669037036935,5.6739905303686555,5.674003253432147,True,0.007984563037300064,,5.6736837450444e-06,1.8396747236693045e-05,True,
HF_ccpvdz_PAR_UCCSD_v4_tapered__sha256_b7153d9bdf4c7b85,HF,parity,uccsd_tapered,1,ok,,1,0,5.848576734024391e-06,0.7106200500581252,0.09474933604280977,0.0947551846195438,True,0.00013333332775378312,0.00013333333333331865,0.473746696044941,0.47375254462167504,True,0.0006666666610464915,0.0006666666666667043,0.9474933961257648,0.9474992447024988,True,0.0013333333277723652,0.0013333333333332975,1.8944415242430068,1.8944473728197408,True,0.002665899342536213,,2.105906560245785e-07,6.0591673900489695e-06,True,
LiH_ccpvdz_JW_HEA_v4_tapered__sha256_f044f66bd4bc8376,LiH,jordan_wigner,hea,5,ok,,15,8,0.09583123968148755,3.2142030041164285,17.668217918762608,17.764049158444095,False,0.00549692035510356,0.023077252845439378,87.18636732674679,87.28219856642826,False,0.02712534560358734,0.11043895450200347,171.56868327840692,171.6645145180884,False,0.053378297219770804,0.20925652659813931,119.84618683561798,119.94201807529947,False,0.037286439805491754,,0.18290765653183882,0.27873889621332637,True,
LiH_ccpvdz_JW_UCCSD_v4_tapered__sha256_21e143f12ed3a4b6,LiH,jordan_wigner,uccsd_tapered,5,ok,,662,560,0.002862819194149324,3.214295972536916,1047.5440413591803,1047.5469041783745,False,0.3259015505446424,0.7945602193824133,2719.738614805736,2719.7414776249298,False,0.8461382019712249,0.9996413441408163,3129.479966085028,3129.482828904222,False,0.9736128822060696,0.9999998777305238,2995.646676588974,2995.649539408168,False,0.9319759916895983,,1971.7467071732199,1971.749569992414,False,
LiH_ccpvdz_PAR_HEA_v4_tapered__sha256_b4373017ff3b1438,LiH,parity,hea,5,ok,,15,8,3.3701612450780516,3.21092867411103,19.414241814568634,22.784403059646685,False,0.006046301174828685,0.023077252845439378,95.63332193777629,99.00348318285435,False,0.02978369551116021,0.11043895450200347,187.77822922043265,191.1483904655107,False,0.058480971793127876,0.20925652659813931,131.2486627547118,134.61882399978987,False,0.04087560829766765,,0.23195099415396214,3.6021122392320137,True,
N2_ccpvdz_JW_ADAPT_v4_casscf_tapered__sha256_850d9d253b878943,N2,jordan_wigner,adapt,8,ok,,326,368,8.830610582577947,3.5922546721015323,1608.6904492493231,1617.5210598319013,False,0.4478219380554695,0.6413677190101599,3209.9971994524453,3218.827810035023,False,0.8935884263390881,0.9941452447751336,3416.301782855726,3425.1323934383036,False,0.9510188153940459,0.9999668444245434,3254.624015946476,3263.4546265290537,False,0.9060114922315526,,2868.9656618180948,2877.796272400673,False,
N2_ccpvdz_JW_HEA_v4_casscf_tapered__sha256_17841edecba23ac1,N2,jordan_wigner,hea,8,ok,,88,70,4.513207152271548,3.5965720755318387,318.05577292776377,322.5689800800353,False,0.08843303185596015,0.18006100469774655,1306.92247205711,1311.4356792093815,False,0.3633800309323289,0.6303300032610368,2093.2109016457757,2097.7241087980474,False,0.5820016553779879,0.864208474714545,1526.5692627442463,1531.0824698965178,False,0.4244511803697154,,220.31111167184747,224.82431882411902,False,
N2_ccpvdz_JW_HEA_v4_casscf_tapered__sha256_c238605f774708c4,N2,jordan_wigner,hea,8,ok,,56,42,48.449592500546146,3.552635690183564,262.9193380658137,311.36893056635984,False,0.07400683914545392,0.11267316981742348,1127.7797035074714,1176.2292960080174,False,0.31744873436465393,0.4507605566268552,1885.1373875564263,1933.5869800569726,False,0.5306306505801673,0.6994827723305792,1324.1485087589524,1372.5981012594984,False,0.3727228526183426,,126.62806402595095,175.0776565264971,False,
N2_ccpvdz_JW_HEA_v4_casscf_tapered__sha256_ebcfc9fbdeed4e51,N2,jordan_wigner,hea,8,ok,,40,28,138.64574446627387,3.4624395382178363,131.38496722544346,270.03071169171733,False,0.037945779493111106,0.07692997226588616,601.1851362500096,739.8308807162834,False,0.17363050808952105,0.3305232862122167,1081.1688850159699,1219.8146294822436,False,0.3122563941065847,0.552938030221089,727.2417378619025,865.8874823281764,False,0.21003738255490909,,27.232469399066872,165.87821386534074,False,
N2_ccpvdz_JW_UCCSD_v4_casscf_tapered__sha256_5912a448b32eaa07,N2,jordan_wigner,uccsd_tapered,8,ok,,5108,5712,10.831542693779284,3.590253739990331,3559.5010379353057,3570.332580629085,False,0.9914343931426116,0.9999998784907903,3590.247382938756,3601.078925632535,False,0.9999982293586929,1.0,3590.2536696539614,3601.0852123477407,False,0.9999999804090811,1.0,3624.0127279944404,3634.8442706882197,False,1.0094029532308768,,3590.2348798399544,3601.0664225337337,False,
